3.504882 processo0   4.048382 16 5 
0.443977 processo1   0.607396 16 4
1.741534 processo2   2.109810 6 5
3.499027 processo3   0.331922 6 4
2.937412 processo4   3.214832 16 3
4.953016 processo5   1.478591 11 5
1.356684 processo6   0.348280 16 4
4.748197 processo7   1.910876 11 3
1.613550 processo8   4.941828 11 2
4.212610 processo9   1.376571 6 5
2.983133 processo10  2.782102 16 4
4.239540 processo11  0.923118 11 3
1.987349 processo12  4.448815 16 2
4.252403 processo13  1.588649 11 1
0.514840 processo14  0.224502 6 5
3.224956 processo15  4.019722 11 4
4.272884 processo16  3.668933 16 3
4.627118 processo17  1.014418 11 2
0.778743 processo18  3.126146 6 1
1.346340 processo19  3.716155 16 7
